trial,hits,false_alarms,misses,correct_rejections
1,0,2,0,13
2,0,3,2,10
3,1,1,0,13
4,0,2,1,12
5,2,1,0,12
6,0,0,0,15
7,2,0,0,13
8,0,0,1,14
9,0,1,0,14
10,0,1,2,12
11,0,1,1,13
12,1,0,0,14
13,1,0,0,14
14,0,2,3,10
15,0,1,1,13
16,0,0,0,15
17,1,1,1,12
18,0,1,0,14
19,0,2,0,13
20,0,1,0,14
21,1,1,0,13
22,0,1,0,14
23,0,1,0,14
24,0,2,3,10
25,1,1,0,13
26,1,0,2,12
27,0,1,0,14
28,0,1,0,14
29,0,0,0,15
30,0,1,0,14
31,0,3,1,11
32,0,0,2,13
33,0,1,0,14
34,1,1,0,13
35,1,0,0,14
36,1,0,2,12
37,0,2,0,13
38,2,0,1,12
39,0,0,0,15
40,0,2,2,11
41,0,2,1,12
42,0,2,1,12
43,1,0,0,14
44,0,2,0,13
45,0,0,0,15
46,0,1,1,13
47,0,0,0,15
48,1,1,0,13
49,0,1,3,11
50,0,0,0,15
51,0,2,2,11
52,0,0,0,15
53,0,0,0,15
54,1,2,2,10
55,0,1,0,14
56,0,1,0,14
57,0,1,0,14
58,2,1,0,12
59,0,0,0,15
60,0,0,0,15
61,0,0,2,13
62,0,0,0,15
63,0,0,2,13
64,0,0,0,15
65,1,0,1,13
66,1,0,1,13
67,0,0,0,15
68,1,1,0,13
69,3,0,0,12
70,0,0,1,14
71,0,0,0,15
72,0,0,0,15
73,0,1,0,14
74,0,0,0,15
75,0,1,1,13
76,0,0,0,15
77,0,1,2,12
78,0,1,0,14
79,0,1,0,14
80,0,1,0,14
81,1,3,0,11
82,1,0,0,14
83,0,0,1,14
84,0,0,0,15
85,0,0,0,15
86,1,1,0,13
87,1,1,2,11
88,0,1,1,13
89,0,1,0,14
90,0,2,0,13
91,0,2,0,13
92,0,1,1,13
93,0,2,0,13
94,1,1,0,13
95,0,2,0,13
96,1,1,0,13
97,0,0,0,15
98,0,1,2,12
99,0,0,0,15
100,0,0,0,15
101,1,2,0,12
102,1,1,1,12
103,2,0,0,13
104,0,1,2,12
105,0,0,0,15
106,2,1,0,12
107,0,1,0,14
108,1,0,1,13
109,2,0,1,12
110,0,0,0,15
111,0,1,0,14
112,0,0,0,15
113,0,0,0,15
114,0,2,0,13
115,2,0,0,13
116,0,2,0,13
117,1,1,0,13
118,0,2,0,13
119,0,2,0,13
120,0,0,0,15
121,0,1,1,13
122,0,1,1,13
123,0,2,0,13
124,0,1,1,13
125,1,1,0,13
126,0,4,0,11
127,0,1,0,14
128,0,1,3,11
129,0,1,0,14
130,2,1,0,12
131,0,1,0,14
132,0,1,0,14
133,0,0,0,15
134,0,1,0,14
135,0,0,0,15
136,0,0,0,15
137,1,1,1,12
138,0,0,0,15
139,0,1,2,12
140,0,1,1,13
141,0,0,0,15
142,0,0,0,15
143,0,0,0,15
144,0,2,0,13
145,1,1,0,13
146,0,0,0,15
147,0,0,0,15
148,0,3,3,9
149,0,0,0,15
150,0,1,3,11
151,0,2,0,13
152,0,0,0,15
153,1,0,0,14
154,0,0,0,15
155,0,0,0,15
156,0,0,0,15
157,0,0,0,15
158,0,0,0,15
159,0,0,0,15
160,0,0,0,15
161,1,0,0,14
162,0,1,0,14
163,0,1,3,11
164,0,2,0,13
165,0,0,0,15
166,1,2,0,12
167,0,2,0,13
168,0,0,0,15
169,0,0,0,15
170,0,1,0,14
171,0,0,0,15
172,0,0,0,15
