trial,hits,false_alarms,misses,correct_rejections
1,0,1,0,14
2,0,2,0,13
3,0,2,0,13
4,1,0,0,14
5,1,1,1,12
6,1,0,2,12
7,0,0,0,15
8,0,0,1,14
9,0,1,0,14
10,0,0,1,14
11,1,2,0,12
12,0,0,0,15
13,0,1,1,13
14,1,2,0,12
15,0,1,0,14
16,0,0,0,15
17,0,1,1,13
18,0,0,0,15
19,0,0,0,15
20,0,0,0,15
21,1,0,1,13
22,1,2,0,12
23,0,1,0,14
24,0,3,0,12
25,3,0,0,12
26,1,1,2,11
27,0,1,3,11
28,0,2,0,13
29,0,0,0,15
30,1,1,0,13
31,0,1,1,13
32,0,2,0,13
33,0,2,2,11
34,0,0,0,15
35,1,1,0,13
36,1,2,0,12
37,1,0,0,14
38,1,0,0,14
39,2,1,1,11
40,0,0,0,15
41,0,0,0,15
42,1,1,1,12
43,1,0,0,14
44,0,0,0,15
45,0,0,0,15
46,0,1,0,14
47,0,0,1,14
48,1,1,0,13
49,0,1,0,14
50,1,0,0,14
51,0,1,0,14
52,0,0,2,13
53,0,0,0,15
54,0,0,0,15
55,1,0,1,13
56,0,0,0,15
57,1,1,0,13
58,0,0,1,14
59,0,0,1,14
60,0,0,0,15
61,2,1,0,12
62,1,1,1,12
63,0,2,1,12
64,1,0,1,13
65,1,1,0,13
66,0,1,1,13
67,1,0,1,13
68,0,0,0,15
69,0,1,1,13
70,0,0,0,15
71,1,1,0,13
72,1,1,0,13
73,0,0,0,15
74,0,0,0,15
75,0,0,0,15
76,0,0,1,14
77,0,0,0,15
78,0,1,3,11
79,1,1,1,12
80,1,2,0,12
81,2,1,0,12
82,0,0,0,15
83,0,0,0,15
84,0,0,2,13
85,0,0,0,15
86,0,0,0,15
87,0,0,0,15
88,0,1,0,14
89,0,2,2,11
90,0,0,0,15
91,1,1,0,13
92,0,1,1,13
93,0,0,0,15
94,0,0,0,15
95,2,0,0,13
96,1,0,2,12
97,0,1,0,14
98,0,0,0,15
99,1,0,0,14
100,1,2,0,12
101,0,0,0,15
102,0,0,0,15
103,0,0,0,15
104,2,0,0,13
105,0,2,1,12
106,0,0,0,15
107,0,0,0,15
108,0,0,0,15
109,0,2,0,13
110,0,0,0,15
111,1,0,2,12
112,0,0,0,15
113,0,1,1,13
114,0,2,0,13
115,0,1,0,14
116,0,1,0,14
117,0,0,0,15
118,0,0,0,15
119,3,1,0,11
120,2,0,0,13
121,0,0,0,15
122,1,1,0,13
123,0,0,0,15
124,0,0,0,15
125,1,0,1,13
126,1,1,2,11
127,0,0,1,14
128,0,0,0,15
129,0,0,1,14
130,0,0,0,15
131,1,0,1,13
132,1,0,2,12
133,0,0,2,13
134,2,2,0,11
135,0,0,0,15
136,0,1,0,14
137,0,1,0,14
138,1,1,2,11
139,0,0,0,15
140,1,1,0,13
141,1,1,1,12
142,0,0,0,15
143,0,0,0,15
144,0,1,0,14
145,1,0,0,14
146,0,0,0,15
147,0,1,0,14
148,1,2,1,11
149,0,0,1,14
150,0,0,0,15
151,0,0,2,13
152,0,1,1,13
153,0,0,1,14
154,0,0,0,15
155,0,1,3,11
156,0,0,0,15
157,0,1,1,13
158,0,0,1,14
159,0,0,0,15
160,0,2,0,13
161,0,0,0,15
162,2,0,0,13
163,0,0,0,15
164,0,0,0,15
165,0,0,0,15
166,0,2,1,12
167,0,0,0,15
168,0,1,1,13
169,1,0,0,14
170,2,0,0,13
171,0,0,0,15
172,0,0,1,14
173,0,0,0,15
174,0,0,0,15
175,0,0,0,15
176,0,0,0,15
177,1,0,1,13
178,0,0,0,15
179,1,0,2,12
180,0,0,2,13
181,1,0,0,14
182,0,2,0,13
183,0,2,0,13
184,0,1,0,14
185,1,0,1,13
186,0,0,0,15
187,0,0,0,15
188,0,0,0,15
189,0,0,0,15
190,1,0,2,12
191,0,0,0,15
192,0,1,0,14
193,2,0,0,13
194,0,0,0,15
195,0,1,1,13
196,0,0,0,15
197,2,0,1,12
198,0,0,0,15
199,0,0,3,12
200,0,0,2,13
201,0,0,0,15
202,1,1,0,13
203,1,0,0,14
204,0,0,0,15
205,0,1,0,14
206,0,1,1,13
207,0,0,0,15
208,0,0,0,15
209,0,1,0,14
210,0,0,0,15
211,0,0,0,15
212,0,0,0,15
213,0,0,0,15
214,0,0,0,15
215,0,0,0,15
216,0,0,0,15
217,2,1,0,12
218,0,0,1,14
219,0,0,2,13
220,1,0,2,12
221,1,1,1,12
222,1,1,0,13
223,1,0,1,13
224,1,0,2,12
225,1,0,2,12
226,0,0,1,14
227,0,0,2,13
228,0,0,0,15
229,0,0,0,15
230,0,0,0,15
231,0,0,1,14
232,0,0,0,15
233,0,0,0,15
234,1,2,1,11
235,1,0,1,13
236,0,1,3,11
237,0,0,0,15
238,0,0,0,15
239,0,0,0,15
240,0,1,1,13
241,0,0,0,15
242,0,1,0,14
243,0,0,0,15
244,0,0,0,15
245,1,1,1,12
246,0,2,2,11
247,0,0,0,15
248,0,0,0,15
249,0,0,0,15
250,0,0,1,14
251,0,0,0,15
252,0,0,0,15
253,0,0,0,15
254,0,1,3,11
255,1,0,1,13
256,0,0,0,15
257,0,0,0,15
258,0,0,0,15
259,0,0,0,15
260,0,0,0,15
261,1,0,1,13
262,0,0,0,15
263,0,0,0,15
264,0,0,3,12
265,0,0,0,15
266,0,0,0,15
267,0,0,0,15
268,0,0,0,15
269,0,0,0,15
270,0,0,0,15
271,0,1,3,11
272,0,1,0,14
273,0,0,0,15
274,1,0,0,14
275,0,0,0,15
276,1,0,0,14
277,0,0,0,15
278,0,0,0,15
279,0,0,0,15
280,0,1,1,13
281,0,0,0,15
