trial,hits,false_alarms,misses,correct_rejections
1,0,5,0,10
2,1,3,1,10
3,0,4,1,10
4,1,3,0,11
5,1,2,2,10
6,0,4,1,10
7,1,2,0,12
8,1,6,0,8
9,1,4,1,9
10,0,4,1,10
11,1,0,1,13
12,0,1,0,14
13,0,0,0,15
14,0,2,0,13
15,1,1,1,12
16,0,2,0,13
17,1,3,1,10
18,0,0,0,15
19,2,0,1,12
20,2,1,1,11
21,0,1,1,13
22,0,3,0,12
23,1,0,2,12
24,2,2,0,11
25,0,1,0,14
26,0,4,0,11
27,1,1,0,13
28,2,0,0,13
29,0,4,1,10
30,0,5,0,10
31,0,2,1,12
32,1,1,1,12
33,1,1,0,13
34,0,2,2,11
35,1,3,0,11
36,0,1,0,14
37,0,2,0,13
38,0,0,0,15
39,0,0,0,15
40,0,2,1,12
41,0,2,1,12
42,1,2,1,11
43,0,0,0,15
44,0,0,0,15
45,0,4,2,9
46,1,2,1,11
47,1,3,0,11
48,1,1,1,12
49,0,1,0,14
50,1,1,2,11
51,0,0,0,15
52,1,2,0,12
53,0,0,0,15
54,0,2,0,13
55,0,3,1,11
56,0,1,3,11
57,0,5,0,10
58,0,3,0,12
59,0,1,0,14
60,0,2,0,13
61,0,4,1,10
62,1,1,1,12
63,0,0,0,15
64,0,0,0,15
65,0,3,1,11
66,0,2,1,12
67,0,2,0,13
68,0,2,0,13
69,0,0,1,14
70,1,0,1,13
71,1,1,0,13
72,1,3,1,10
73,0,0,0,15
74,0,0,0,15
75,0,0,0,15
76,1,1,0,13
77,0,3,0,12
78,0,0,0,15
79,0,2,2,11
80,0,0,0,15
81,0,2,0,13
82,0,0,2,13
83,0,0,0,15
84,0,3,0,12
85,0,0,0,15
86,0,2,0,13
87,0,0,0,15
88,0,0,0,15
89,0,0,0,15
90,0,0,0,15
91,0,0,0,15
92,0,3,0,12
93,0,0,0,15
94,1,0,2,12
95,0,0,0,15
96,0,0,1,14
97,2,0,1,12
98,0,0,2,13
99,0,0,0,15
100,0,0,0,15
101,0,0,2,13
102,0,0,0,15
103,0,0,0,15
104,0,2,1,12
105,1,1,2,11
106,0,1,0,14
107,0,0,0,15
108,0,1,0,14
109,1,1,0,13
110,0,1,0,14
111,0,0,0,15
112,1,1,0,13
113,1,1,2,11
114,0,0,0,15
115,0,0,0,15
116,0,1,3,11
117,1,0,0,14
118,0,0,0,15
119,1,1,1,12
120,0,3,0,12
121,1,2,0,12
122,0,0,0,15
123,0,0,0,15
124,1,0,0,14
125,0,3,0,12
126,0,2,2,11
127,0,0,0,15
128,0,0,0,15
129,1,0,2,12
130,0,0,0,15
131,0,0,0,15
132,1,0,1,13
133,0,0,0,15
134,1,1,1,12
135,0,0,2,13
136,0,0,0,15
137,0,3,1,11
138,0,0,0,15
139,0,0,0,15
140,0,0,0,15
141,0,0,0,15
142,1,1,0,13
143,3,0,0,12
144,0,1,0,14
145,0,0,0,15
146,0,1,0,14
147,0,0,0,15
148,0,0,0,15
149,0,2,2,11
150,0,1,0,14
151,0,0,0,15
152,1,1,2,11
153,0,1,1,13
154,0,1,2,12
155,0,3,0,12
156,0,0,0,15
157,0,0,0,15
158,0,0,0,15
159,2,0,0,13
160,0,1,0,14
161,0,1,2,12
162,0,1,0,14
163,0,3,1,11
164,1,0,0,14
165,0,0,0,15
166,0,0,1,14
167,0,0,0,15
168,0,0,0,15
169,0,2,0,13
170,0,1,0,14
171,0,2,0,13
172,1,1,0,13
173,0,1,1,13
174,1,0,1,13
175,0,0,0,15
176,0,2,0,13
177,0,0,0,15
178,0,0,0,15
179,0,0,2,13
180,0,0,1,14
181,1,1,0,13
182,1,0,0,14
183,0,0,0,15
184,2,0,1,12
185,0,3,0,12
186,0,0,0,15
187,0,3,0,12
188,0,0,0,15
189,0,0,0,15
190,0,0,0,15
191,0,1,0,14
192,0,0,0,15
193,0,0,0,15
194,0,0,0,15
195,0,0,1,14
196,0,0,0,15
197,0,0,0,15
198,0,0,0,15
199,1,1,2,11
200,0,2,0,13
201,0,0,0,15
202,0,0,0,15
203,0,0,0,15
